attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,class
-0.01251,0.99342,-0.27049,0.64743,-149.5,-0.155,-0.01251,0.0031181,0.99318,0.0030976,-0.01251,-0.016305,0.039174,-0.01251,9409.7,0.03879,1.0066,-0.01251,-0.012717,43.993,1.2983,-0.0020465,-0.012717,-0.155,0.0030976,0.03879,-0.020663,-0.53745,4.9825,0.97642,-0.012717,282.74,1.291,-0.0020601,-0.0020465,1.0126,1.6716,0.22931,-0.0020805,0.044312,0.66657,-0.0020805,171.7,127.7,-0.10551,0.4929,43.693,-0.053091,-0.053972,0.5,0.7672,0.77462,0.0061547,0.45563,-25979,-0.0068647,-4.0385,1.0069,73.03,8.2967,2.8582,284.68,1.2822,1.9545,0
0.044384,1.0643,-0.5298,0.43939,-158.4,-0.52553,0.044384,-0.14114,1.0741,-0.15021,0.044384,0.046965,0.06554,0.044384,3489.2,0.10461,0.93959,0.044384,0.026127,16.954,0.98457,0.12534,0.026127,-0.52553,-0.15021,0.10461,0.79254,-0.90601,4.0275,0.59029,0.026127,218.1,1.6735,0.11777,0.12534,1.82,2.8202,-0.030954,0.073786,0.12617,0.18196,0.073786,63.6,46.646,0.56251,0.35589,18.21,0.058392,0.034374,0.39015,0.94504,0.59754,-0.25687,-0.052934,-5644,0.068995,-0.29548,0.931,-0.79393,21.529,7.8248,203.05,1.7975,2.905,0
0.18976,0.7068,0.3507,1.6816,0.37986,0.43435,0.18976,0.41482,1.0769,0.2932,0.18976,0.3688,0.067832,0.18976,1315.8,0.2774,1.4148,0.18976,0.065649,43.805,0.96816,0.20026,0.065649,0.43435,0.2932,0.2774,0.7461,2.6023,4.3833,0.19347,0.065649,69.971,5.2165,0.28333,0.20026,3.0345,2.6959,0.48546,0.069281,0.2887,0.11249,0.069281,90.499,46.695,0.54702,1.0074,47.174,0.19395,0.067098,1.2242,0.51454,0.1917,2.1756,3.6023,8476.2,0.071424,0.64721,0.92858,0.65576,8.3324,7.8168,64.973,5.6177,21.449,0
-0.013368,0.53747,0.18159,1.442,-70.563,-0.007756,-0.014792,0.85284,0.99898,0.45838,-0.014792,-0.036002,0.035496,-0.014792,5527.7,0.066031,1.8606,-0.014792,-0.014795,130.28,0.62118,0.0096438,-0.013371,-0.0043643,0.45838,0.06868,0.096357,0.44559,4.0916,0.47171,-0.014795,149.84,2.4359,0.017943,0.0096438,1.0179,1.8608,0.58498,0.0096456,0.18714,0.29487,0.0096456,188.22,57.937,-0.03746,0.5734,130.15,-0.040638,-0.040646,1.1023,0.41087,0.41052,1.1247,1.4354,2242.3,-0.0010255,-0.029165,1.001,0.27621,2.8016,6.3,149.99,2.4334,2.4533,0
0.19187,0.66413,0.032727,1.0551,-31.647,0.12649,0.23794,0.49122,1.0998,0.32623,0.23794,0.40083,0.10142,0.23794,917.36,0.39788,1.5057,0.23794,0.091328,33.315,1.107,0.24222,0.073642,0.15416,0.32623,0.3285,1.0225,0.087586,4.299,0.24596,0.091328,91.463,3.9907,0.36472,0.24222,2.6133,5.5107,0.39674,0.092971,0.040722,0.081313,0.092971,84.362,51.047,0.80683,0.65454,36.64,0.21592,0.082876,0.94311,0.59362,0.25058,0.87308,1.0618,651.55,0.090741,0.58813,0.90926,0.21613,10.956,7.1503,83.163,4.389,6.9727,0
0.11996,0.45114,0.32298,1.737,34.704,0.29632,0.14407,1.159,1.101,0.52288,0.14407,0.32874,0.118,0.14407,980.27,0.37235,2.2166,0.14407,0.10121,23.013,0.99548,0.12436,0.084271,0.34497,0.52288,0.31891,0.96181,1.3526,4.9038,0.31538,0.10121,123.72,2.9503,0.27565,0.12436,1.476,52.073,0.53577,0.08736,0.25803,0.10003,0.08736,166.19,143.18,1.3366,1.5322,25.337,0.10045,0.070563,1.6873,0.43824,0.33895,2.1898,2.2438,25883,0.091716,0.22942,0.90828,0.024661,15.861,2.5493,112.37,3.2482,5.9616,0
0.12206,0.199,0.53199,3.697,108.33,0.36838,0.15042,3.6738,1.1391,0.73109,0.15042,0.76254,0.16658,0.15042,377.46,0.96699,5.0251,0.15042,0.1302,51.165,0.92207,0.15269,0.10566,0.45271,0.73109,0.82452,1.5055,1.9649,4.8707,0.15943,0.1302,70.991,5.1415,0.76726,0.15269,1.1804,324.72,0.73284,0.13217,0.46806,0.033602,0.13217,201.24,150.07,0.75376,2.876,58.28,0.11067,0.095797,3.6645,0.19726,0.1945,2.7002,2.7067,39500,0.12209,0.16696,0.87791,0.0023897,7.1338,2.4322,62.324,5.8565,4.2668,0
0.17609,0.14372,0.095422,1.6701,-220.85,0.32483,0.19712,5.7745,1.2614,0.82989,0.19712,1.3842,0.80496,0.19712,253.46,1.4401,6.9582,0.19712,0.76667,302.78,1.7253,0.20359,0.6849,0.34916,0.82989,1.2938,9.9885,0.1252,3.7222,0.53525,0.76667,255.02,1.4313,1.4166,0.20359,0.41076,18.737,0.8312,0.79183,0.050817,0.022138,0.79183,327.36,24.573,0.82563,0.17237,381.94,0.19374,0.75355,1.6548,0.14241,0.69868,1.0889,1.0906,503.31,0.20725,0.21219,0.79275,0.0015786,1.2055,14.854,202.17,1.8055,0.33734,0
0.029271,0.27401,-0.088058,0.39234,-81.942,0.093308,0.035916,1.5849,1.0987,0.43429,0.035916,0.24785,0.17077,0.035916,1145.3,0.3187,3.6494,0.035916,0.070235,1.732,0.97783,0.048787,0.057241,0.1246,0.43429,0.29445,1.0482,-0.093366,5.184,0.53321,0.070235,113.65,3.2117,0.17805,0.048787,0.52143,0.4216,0.56339,0.095405,0.035178,0.089907,0.095405,36.943,35.211,12.063,0.37559,1.903,-0.0026256,-0.0051345,0.20749,0.14491,0.31136,0.46047,0.59735,-13452,0.089849,0.0674,0.91015,0.29727,210.74,10.366,103.43,3.5288,0.5422,0
0.046585,0.74612,0.21103,1.3663,-45.173,-0.16891,0.044852,0.30425,1.0959,0.22701,0.044852,0.077862,0.084355,0.044852,2548.3,0.14323,1.3403,0.044852,0.035404,99.864,0.92721,0.098254,0.036771,-0.17065,0.22701,0.14555,0.84994,0.99118,4.2665,0.52153,0.035404,181.88,2.0068,0.13169,0.098254,1.2788,2.59,0.39707,0.077555,0.15118,0.15305,0.077555,201.67,101.81,0.1344,0.76463,109.44,0.036238,0.028604,1.0549,0.57605,0.49831,1.0662,1.8649,3897.7,0.087522,0.20521,0.91248,0.74916,3.655,3.5851,165.96,2.1993,5.9503,0
0.15249,0.57565,0.20026,1.5882,11.381,0.40533,0.19131,0.71303,1.2016,0.41045,0.19131,0.56196,0.16303,0.19131,952.08,0.38337,1.7372,0.19131,0.14133,43.952,0.92771,0.21956,0.11265,0.50291,0.41045,0.31593,1.9489,0.43602,4.6687,0.32915,0.14133,110.3,3.3091,0.38141,0.21956,1.3744,1.6058,0.64567,0.1622,0.38973,0.076026,0.1622,110.02,66.069,0.9355,1.1095,52.811,0.19018,0.1405,0.93929,0.34044,0.30219,0.89365,1.4058,9339.7,0.16775,0.3715,0.83225,0.57305,8.3046,5.5245,91.797,3.9762,2.9472,0
0.026141,0.29891,0.19164,1.6512,26.162,0.24829,0.03274,2.0495,1.0476,0.61261,0.03274,0.11126,0.033753,0.03274,1716.6,0.21263,3.3455,0.03274,0.017387,2.2444,1.1946,0.023773,0.013883,0.30085,0.61261,0.19056,0.13225,0.37279,4.5938,0.12696,0.017387,59.753,6.1085,0.079533,0.023773,1.9329,102.32,0.61725,0.012625,0.37893,0.18001,0.012625,72.574,70.329,2.2577,1.6119,2.3511,-0.0070448,-0.0037412,1.6256,0.29427,0.16371,1.1917,1.2007,7521.8,0.045393,0.042672,0.95461,0.0075673,162.63,5.1899,57.041,6.3989,3.6629,0
0.079069,0.2525,0.20476,1.9896,74.219,0.46655,0.10108,2.9603,1.0709,0.7475,0.10108,0.48856,0.13455,0.10108,781.61,0.46699,3.9603,0.10108,0.11534,13.94,0.57785,0.095101,0.090222,0.59307,0.7475,0.3798,1.1621,0.34804,4.4949,0.27749,0.11534,92.285,3.9552,0.37663,0.095101,0.94029,8.294,0.79309,0.10851,0.074234,0.074165,0.10851,165.05,151.11,2.3623,1.8279,14.929,0.078269,0.089309,1.6303,0.20691,0.25283,1.2705,1.348,6399,0.066233,0.10578,0.93377,0.061002,26.184,2.4154,86.172,4.2357,1.4896,0
0.04555,0.33135,0.39134,2.1865,92.711,0.16046,0.057686,1.8193,1.0313,0.60284,0.057686,0.1749,0.055999,0.057686,1650.2,0.22119,3.0179,0.057686,0.044076,5.133,0.99531,0.051745,0.034803,0.20683,0.60284,0.18456,0.40774,1.4035,5.0504,0.10445,0.044076,94.861,3.8477,0.15616,0.051745,1.3354,459.93,0.60436,0.039536,0.74215,0.16175,0.039536,132.86,127.72,2.4748,2.1307,5.2936,0.03614,0.027613,2.1764,0.32983,0.25989,2.162,2.1674,43953,0.030345,0.07556,0.96966,0.0025346,71.108,2.8578,91.983,3.9681,4.6937,0
0.064749,0.1279,0.30487,3.4763,67.259,0.19044,0.096424,6.2752,1.1145,0.80258,0.096424,0.78318,0.10684,0.096424,320.82,1.1377,7.8187,0.096424,0.070801,22.443,0.76215,0.13741,0.047543,0.26165,0.80258,0.89004,1.1245,0.53298,4.0761,-0.058734,0.070801,36.774,9.9255,1.0744,0.13741,1.3738,72.003,0.80736,0.1009,1.7047,0.022547,0.1009,58.454,36.012,0.77323,2.7961,25.012,0.088326,0.064855,3.3463,0.12312,0.10075,1.4031,1.4114,3632.8,0.10272,0.080676,0.89728,0.005957,16.264,10.136,32.996,11.062,2.3809,0
0.021097,0.26577,0.19009,1.7584,-7.6569,0.17999,0.028085,2.2191,1.0386,0.58977,0.028085,0.11206,0.11986,0.028085,829.32,0.44012,3.7626,0.028085,0.02878,77.269,0.70824,0.032003,0.021619,0.23014,0.58977,0.41382,0.3406,0.33988,4.8759,0.25288,0.02878,97.361,3.7489,0.12041,0.032003,1.0073,15.466,0.60491,0.032794,0.082147,0.072279,0.032794,157.14,79.871,0.10212,0.93417,80.251,-0.056883,-0.058289,1.6583,0.25063,0.26674,1.0545,1.0816,14283,0.037161,0.035771,0.96284,0.025669,4.7238,4.5698,93.743,3.8936,1.7449,0
0.0060862,0.27595,0.1021,1.8243,-27.158,0.12171,0.0068216,2.1479,1.0095,0.59273,0.0068216,0.055074,0.18348,0.0068216,1473.5,0.24771,3.6238,0.0068216,0.01831,122.39,0.57022,0.014685,0.016336,0.14944,0.59273,0.24505,0.39789,0.13191,4.7293,0.69513,0.01831,122.5,2.9797,0.053215,0.014685,0.40146,0.66433,0.74482,0.039416,0.14007,0.11903,0.039416,204.38,81.99,0.048717,0.81572,123.55,-0.046851,-0.12575,0.81886,0.12386,0.33561,0.76577,0.96226,5474.4,0.0093625,0.010268,0.99064,0.25659,2.9822,4.4518,121.35,3.0078,0.48132,0
0.011815,0.30627,0.27954,2.1622,21.869,0.044401,0.027491,2.1736,1.1473,0.66572,0.054657,0.11429,0.060489,0.027491,1610.8,0.2266,3.2651,0.027491,0.023961,10.399,1.2799,0.048898,0.010298,0,0.65567,0.17542,1.7999,0.58245,5.2529,0.26694,0.023961,87.098,4.2368,3.3274,0.13934,1.1473,7.4137,0.73146,0.12145,0.78231,0.11242,0.042619,105.59,95.19,0.36148,2.0263,11.707,0.0069886,0.0060913,1.6981,0.24053,0.23603,1.3871,1.5241,2.1622,0.12145,0,0.89097,0.098751,35.101,3.8344,76.52,4.77,2.3906,0
0.043252,0.33698,0.34807,2.0505,51.656,-0.0034299,0.056117,0.78666,1.0232,0.26508,0.056117,0.16937,0.037071,0.056117,1448.5,0.25198,2.9676,0.056117,0.0245,4.6244,1.7706,0.051932,0.018883,0.0032768,0.26508,0.2138,0.23199,1.0857,4.2921,-0.0097398,0.0245,54.024,6.7563,0.15411,0.051932,2.299,115.11,0.27073,0.022673,1.0904,0.13724,0.022673,50.696,46.071,1.4904,1.963,4.7318,0.023137,0.010101,2.0162,0.33133,0.14801,0.82683,0.84445,6819.6,0.022686,0.16316,0.97731,0.021314,78.929,7.9225,52.798,6.9131,7.1443,0
0.0084617,0.24801,0.29924,2.3268,-0.83504,0.14885,0.006313,2.9225,1.0574,0.72483,0.006313,0.02799,0.058599,0.006313,1839.2,0.19846,4.032,0.006313,0.0075159,129.35,0.75362,0.023623,0.010074,0.17759,0.72483,0.20712,0.29738,0.6297,4.6484,0.28085,0.0075159,103.63,3.5221,0.095248,0.023623,0.84933,10.108,0.74731,0.028124,0.068448,0.12256,0.028124,221.33,91.988,0.028427,1.007,136.77,-0.019285,-0.02296,2.1159,0.22554,0.28392,1.5253,1.5726,13317,0.054263,0.011674,0.94574,0.031002,2.8219,3.9679,98.009,3.7241,1.7675,0
0.0043142,0.28976,0.13407,1.6972,-16.872,0.069214,0.017209,2.4511,1.0291,0.71024,0.017209,0.089489,0.080382,0.017209,1611.6,0.22649,3.4511,0.017209,0.021079,75.545,0.8662,0.023026,0.0052842,0.10678,0.71024,0.18198,0.29024,0.19902,4.8909,0.3543,0.021079,88.477,4.1254,0.079466,0.023026,0.82598,1.615,0.8077,0.028203,0.0026026,0.13334,0.028203,145.69,70.142,0.025531,0.81846,77.745,-0.025391,-0.0311,1.1264,0.1923,0.2424,1.0544,1.199,10428,0.028294,0.0060743,0.97171,0.13721,4.8316,5.2037,85.973,4.2455,1.212,0
0.052971,0.21144,0.40892,3.4185,51.826,0.093594,0.072167,3.7229,0.88281,0.78719,0.074661,0.42682,0.1213,0.072167,720.68,0.50647,4.7294,0.072167,0.081747,69.778,0.85956,0.069099,0.060002,0,0.70438,0.41568,27.707,0.96899,5.2325,0.23951,0.081747,112.05,3.3778,2.701,0.33204,0.88281,9.6602,0.82955,0.37611,0.98109,0.067757,0.078272,170.39,100.61,0.31386,2.4203,107.86,0.034178,0.038715,2.7336,0.16908,0.29605,1.8654,1.9657,3.4185,0.37611,0,0.62922,0.053815,5.2309,3.6278,69.907,5.2213,2.092,0
0.16465,0.15781,0.12264,1.7913,8.6762,0.60613,0.17943,5.3053,1.0538,0.83721,0.17943,1.1576,0.15313,0.17943,314.71,1.1598,6.3369,0.17943,0.15012,28.85,0.91673,0.062846,0.13776,0.66062,0.83721,1.0662,0.55409,0.16978,4.235,0.066123,0.15012,49.879,7.3178,0.39825,0.062846,1.3206,65.189,0.84002,0.052582,0.51418,0.078081,0.052582,60.449,31.598,1.7428,1.1817,30.401,0.059247,0.04957,1.7594,0.155,0.13665,1.159,1.1629,2106.9,0.051024,0.19666,0.94898,0.0033561,12.652,11.551,47.334,7.7112,1.6546,0
0.06119,0.53673,0.25509,1.4783,12.386,0.25365,0.078354,0.74683,1.0654,0.40085,0.078354,0.14691,0.063066,0.078354,1918.1,0.19029,1.8631,0.078354,0.048382,45.659,0.87761,0.088175,0.037784,0.32249,0.40085,0.15831,0.58007,1.2058,4.646,0.32549,0.048382,128.07,2.85,0.16428,0.088175,1.6326,173.75,0.40422,0.054447,0.019941,0.15762,0.054447,175.31,129.65,0.30205,1.0985,48.644,0.064395,0.039763,1.469,0.53336,0.35088,1.8948,1.9107,11289,0.061377,0.15265,0.93862,0.008412,7.9941,2.8153,120.21,3.0364,7.6553,0
0.088008,0.64497,0.032493,1.0878,-104.98,0.15549,0.11686,0.19006,1.1338,0.12258,0.11686,0.31579,0.11253,0.11686,1632.8,0.22354,1.5505,0.11686,0.09121,100.57,1.3999,0.14982,0.068691,0.19506,0.12258,0.1788,1.3258,0.054387,4.5215,0.48571,0.09121,119.53,3.0537,0.23229,0.14982,1.2818,0.1802,0.3975,0.11694,0.064161,0.11971,0.11694,107.92,7.3491,0.24931,0.13387,114.02,0.12251,0.095617,0.62414,0.37006,0.32747,0.20518,0.66533,1079.7,0.11798,0.71794,0.88202,2.2427,3.6294,49.666,105.42,3.4622,2.1445,0
0.12973,0.58712,0.15409,1.3095,-17.286,0.1383,0.16142,0.62424,1.0646,0.3665,0.16142,0.32423,0.08949,0.16142,1069.4,0.3413,1.7032,0.16142,0.072087,40.357,1.1689,0.13566,0.057935,0.17483,0.3665,0.28733,0.64499,0.44273,5.403,0.26063,0.072087,86.394,4.2248,0.23107,0.13566,2.2835,4.5299,0.45577,0.060586,0.018383,0.11053,0.060586,104.78,64.421,0.52398,0.81221,42.964,0.096697,0.043184,1.1104,0.49785,0.2367,1.053,1.3095,38976,0.060669,0.35396,0.93933,0.24356,9.0442,5.6658,81.153,4.4977,6.4335,0
-0.023862,0.80701,-0.21885,0.65048,-127.4,-0.014047,-0.021852,0.23914,1.038,0.19299,-0.021852,-0.034899,0.011666,-0.021852,22628,0.01613,1.2391,-0.021852,-0.019583,41.327,1.1231,0.038872,-0.021385,-0.0073829,0.19299,0.013639,0.3616,-0.36925,5.8584,0.71685,-0.019583,212.6,1.7168,0.048168,0.038872,1.1211,1.5535,0.37384,0.034836,0.047911,0.35979,0.034836,123.42,82.089,-0.18887,0.4487,42.898,0.0040025,0.0035869,0.5047,0.62616,0.58247,0.32561,0.63075,-157970,0.036616,-0.12365,0.96338,0.93713,8.832,4.4464,204.82,1.7821,1.8827,0
-0.1865,0.16338,0.51986,4.315,64.479,0.52495,-0.17747,5.0612,0.84979,0.82692,-0.17747,-1.1317,-0.090854,-0.17747,-632.33,-0.57723,6.1205,-0.17747,-0.17096,103.57,0.63971,-0.17634,-0.17967,0.68249,0.82692,-0.63253,-1.4436,1.6079,3.7712,0.085705,-0.17096,46.859,7.7893,-1.0793,-0.17634,1.0718,58.214,0.83348,-0.16988,0.61118,-0.057644,-0.16988,204.24,100.67,-0.63319,2.4368,88.012,-0.2595,-0.24999,4.1416,0.15682,0.12838,2.5576,2.5779,3069.6,-0.17676,-0.22554,1.1768,0.0079383,3.5242,3.6258,55.142,6.6193,3.2106,0
0.043325,0.42995,0.15393,1.3599,25.2,0.067873,0.050682,1.3107,1.0106,0.56353,0.050682,0.11852,0.081725,0.050682,971.24,0.37581,2.3258,0.050682,0.025634,4.3442,0.76149,0.068648,0.021913,0.13035,0.56353,0.3587,0.35091,0.36787,4.0079,0.05224,0.025634,79.788,4.5746,0.15966,0.068648,2.0355,241.43,0.56584,0.034721,0.76674,0.078729,0.034721,46.833,42.488,1.8411,1.3049,4.3904,-0.042249,-0.021369,1.3526,0.42764,0.2186,1.3468,1.3523,1567.6,0.010528,0.076881,0.98947,0.0041016,84.02,8.5906,78.948,4.6233,4.7251,0
-0.03559,0.95858,-0.23505,0.74953,-117.53,-0.32567,-0.033935,-0.059735,1.0096,-0.057261,-0.033935,-0.036161,-0.0016469,-0.033935,-114390,-0.0031909,1.0432,-0.033935,-0.018272,67.833,1,0.048339,-0.019163,-0.32236,-0.057261,-0.0049172,0.26278,-0.79245,4.4025,0.45552,-0.018272,186.21,1.9602,0.050427,0.048339,1.9755,17.783,-0.037116,0.026027,0.1309,0.39784,0.026027,114.09,46.262,-0.10311,0.38174,68.487,0.017462,0.0094024,0.73378,0.93844,0.51016,-0.19305,-0.12513,-5938.6,0.0095505,0.62154,0.99045,-0.35181,5.3809,7.8898,184.43,1.9791,6.2615,0
0.027318,0.47593,0.28879,1.6291,10.374,0.24172,0.037718,1.0536,1.019,0.50145,0.037718,0.082163,0.030233,0.037718,2604.3,0.14015,2.1011,0.037718,0.017096,37.27,0.88293,0.04985,0.012382,0.31969,0.50145,0.1183,0.23023,1.1453,4.0562,0.19368,0.017096,77.387,4.7166,0.10474,0.04985,2.2571,30.978,0.51832,0.022595,0.11014,0.19848,0.022595,115.36,78.088,0.12126,1.1383,37.977,0.020866,0.0094575,1.5713,0.45906,0.21202,1.9887,2.0556,3286.9,0.018612,0.054478,0.98139,0.03364,9.7933,4.6742,75.946,4.806,8.7496,0
0.027454,0.68794,0.14407,1.2672,-96.461,0.067966,0.038055,0.37434,0.95746,0.25752,0.038055,0.070574,0.088378,0.038055,3145.8,0.11603,1.4536,0.038055,0.042135,151.84,0.87495,0.063064,0.030398,0.090762,0.25752,0.10062,0.66856,0.4549,4.163,0.70142,0.042135,208.65,1.7494,0.091672,0.063064,1.046,2.0681,0.40624,0.069826,0.11932,0.21575,0.069826,250.14,98.294,0.073069,0.57039,145.39,0.021299,0.023583,0.99325,0.53922,0.57164,0.81312,1.2827,2097,-0.044425,0.10661,1.0444,0.57749,2.4038,3.7133,217.92,1.675,2.8517,0
