id,Node,Utilised,'Packet,Full_Bandwidth,Average_Delay_Time_Per_Sec,Percentage_Of_Lost_Pcaket_Rate,Percentage_Of_Lost_Byte_Rate,Packet,of,Lost_Bandwidth,Packet,Packet_Transmitted,Packet_Received,Packet_lost,Transmitted_Byte,Received_Byte,10-Run-AVG-Drop-Rate,10-Run-AVG-Bandwith-Use,10-Run-Delay,NodeStatus,Flood,Class
18,9,0.5247,0.484085,100,0.005237,48.386384,48.408488,0.515915,52.47,47.53,1440,9048,4668,4380,13029120,6721920,0.334019,0.456489,0.001917,P NB,0.106886,NB-Wait
19,3,0.779138,0.233095,300,0.000486,23.291008,23.309464,0.766905,233.74125,66.25875,1440,27092,20777,6315,39012480,29918880,0.191138,0.771346,0.002272,B,0.011468,NB-No Block
20,9,0.513563,0.495469,100,0.000912,49.513705,49.546861,0.504531,51.35625,48.64375,1440,9048,4565,4483,13029120,6573600,0.366647,0.451935,0.001083,P NB,0.076996,NB-Wait
21,3,0.836696,0.176022,1000,0.000556,17.595545,17.602188,0.823978,836.69625,163.30375,1440,90324,74425,15899,130066560,107172000,0.132016,0.803228,0.001029,B,0,No Block
22,9,0.249525,0.754421,200,0.005005,75.431034,75.442087,0.245579,49905,150095,1440,18096,4444,13652,26058240,6399360,0.633714,0.224573,0.001042,NB,0.468948,Block
23,3,0.844525,0.168401,900,0.000409,16.836458,16.84015,0.831599,760.0725,139.9275,1440,81276,67589,13687,117037440,97328160,0.136405,0.819189,0.000542,B,0,No Block
24,9,0.446906,0.516523,200,0.000569,51.635721,51.652299,0.483477,89.38125,110.61875,1440,18096,8749,9347,26058240,12598560,0.408053,0.384339,0.000726,NB,0.318281,NB-No Block
25,3,0.831741,0.181038,800,0.000666,18.101013,18.103782,0.818962,665.3925,134.6075,1440,72228,59152,13076,104008320,85178880,0.150261,0.823423,0.000758,B,0.027047,NB-No Block
26,9,0.524925,0.483919,200,0.000627,48.380858,48.39191,0.516081,104985,95015,1440,18096,9339,8757,26058240,13448160,0.406492,0.451436,0.000755,NB,0.333323,NB-Wait
27,3,0.858182,0.155979,700,0.000512,15.594779,15.597939,0.844021,600.7275,99.2725,1440,63284,53413,9871,91128960,76914720,0.116985,0.841019,0.000764,B,0,No Block
28,3,0.721564,0.289414,1000,0.000475,28.93251,28.941367,0.710586,721.56375,278.43625,1440,90324,64183,26141,130066560,92423520,0.20259,0.692701,0.000817,B,0.036466,NB-Wait
29,3,0.776325,0.235752,600,0.000426,23.569688,23.575225,0.764248,465795,134205,1440,54184,41410,12774,78024960,59630400,0.181529,0.737509,0.000921,B,0.005446,NB-No Block
30,9,0.557494,0.45231,200,0.000665,45.092838,45.23099,0.54769,111.49875,88.50125,1440,18096,9911,8185,26058240,14271840,0.307571,0.47387,0.000945,P NB,0.076893,NB-Wait
31,3,0.835043,0.17768,500,0.000512,17.754714,17.767992,0.82232,417.52125,82.47875,1440,45188,37159,8029,65070720,53508960,0.131483,0.801641,0.000927,B,0,No Block
32,9,0.718144,0.293656,200,0.002066,29.354553,29.354553,0.706344,143.62875,56.37125,1440,18096,12782,5314,26058240,18406080,0.220242,0.703781,0.000934,B,0.004405,NB-No Block
33,3,0.691228,0.319812,400,0.000856,31.9765,31.981184,0.680188,276.49125,123.50875,1440,36140,24582,11558,52041600,35398080,0.236661,0.601368,0.000767,B,0.021299,NB-Wait
34,9,0.517444,0.49149,200,0.000633,49.132405,49.148983,0.50851,103.48875,96.51125,1440,18096,9202,8894,26058240,13250880,0.393192,0.455351,0.001051,P NB,0.110094,NB-Wait
35,3,0.790275,0.222095,300,0.000713,22.202126,22.209508,0.777905,237.0825,62.9175,1440,27092,21075,6017,39012480,30348000,0.188781,0.750761,0.001035,B,0.018878,NB-No Block
36,9,0.742725,0.269839,200,0.000538,26.967286,26.983864,0.730161,148545,51455,1440,18096,13213,4883,26058240,19026720,0.223966,0.735298,0.001093,B,0.022397,NB-Wait
37,3,0.486844,0.488448,200,0.001881,60.969275,60.980327,0.390197,97.36875,102.63125,1440,18096,7061,11035,26058240,10167840,0.400528,0.418686,0.001088,NB,0.248327,NB-Wait
38,9,0.530606,0.478448,200,0.000641,47.828249,47.844828,0.521552,106.12125,93.87875,1440,18096,9438,8658,26058240,13590720,0.368405,0.466934,0.001021,P NB,0.099469,NB-No Block
39,3,0.395438,0.611516,100,0.000507,61.074271,61.151636,0.388484,39.54375,60.45625,1440,9048,3515,5533,13029120,5061600,0.415831,0.347985,0.000996,NB,0.224549,NB-Wait
40,9,0.748575,0.264092,200,0.000575,26.392573,26.409151,0.735908,149715,50285,1440,18096,13317,4779,26058240,19176480,0.171659,0.733604,0.001144,B,0.027466,NB-No Block
41,3,0.804499,0.207652,1000,0.000561,20.759709,20.765245,0.792348,804.49875,195.50125,1440,90324,71568,18756,130066560,103057920,0.153663,0.772319,0.001127,B,0.023049,NB-No Block
42,9,0.255375,0.748487,300,0.003407,74.841282,74.848664,0.251513,76.6125,223.3875,1440,27092,6814,20278,39012480,9812160,0.494001,0.227284,0.001277,NB,0.296401,NB-Wait
43,3,0.780688,0.231163,900,0.000488,23.113834,23.116295,0.768837,702.61875,197.38125,1440,81276,62488,18788,117037440,89982720,0.18493,0.765074,0.000947,B,0.031438,NB-No Block
44,9,0.518925,0.489148,300,0.001236,48.907427,48.914809,0.510852,155.6775,144.3225,1440,27092,13840,13252,39012480,19929600,0.371753,0.451465,0.001068,P NB,0.115243,NB-Wait
45,3,0.796233,0.21601,800,0.000499,21.594119,21.596888,0.78399,636.98625,163.01375,1440,72228,56626,15602,104008320,81545760,0.153367,0.780308,0.001041,B,0.027606,NB-No Block
46,9,0.46875,0.538535,300,0.001276,53.846154,53.853536,0.461465,140625,159375,1440,27092,12502,14590,39012480,18002880,0.350048,0.4125,0.001038,P NB,0.136519,NB-Wait
47,3,0.792514,0.220435,700,0.000419,22.034005,22.043487,0.779565,554.76,145.24,1440,63284,49334,13950,91128960,71040960,0.185165,0.776664,0.000944,B,0.037033,NB-No Block
48,9,0.5556,0.452975,300,0.001833,45.290123,45.297505,0.547025,166.68,133.32,1440,27092,14820,12272,39012480,21340800,0.330672,0.47226,0.000957,P NB,0.085975,NB-Wait
49,3,0.677775,0.332737,600,0.000427,33.262587,33.27366,0.667263,406665,193335,1440,54184,36155,18029,78024960,52063200,0.272844,0.657442,0.000901,P NB,0.057297,NB-No Block
50,9,0.54765,0.4608,300,0.001911,46.072641,46.080024,0.5392,164295,135705,1440,27092,14608,12484,39012480,21035520,0.354816,0.492885,0.000908,P NB,0.102897,NB-Wait
51,3,0.771255,0.240329,500,0.000434,24.019651,24.032929,0.759671,385.6275,114.3725,1440,45188,34328,10860,65070720,49432320,0.185054,0.748117,0.000757,B,0.011103,NB-No Block
52,9,0.686888,0.323749,300,0.001577,32.367489,32.374871,0.676251,206.06625,93.93375,1440,27092,18321,8771,39012480,26382240,0.223387,0.666281,0.000865,B,0.004468,NB-No Block
53,3,0.76455,0.247537,400,0.000989,24.748201,24.753735,0.752463,305.82,94.18,1440,36140,27194,8946,52041600,39159360,0.160899,0.726323,0.000784,B,0.008045,NB-Wait
54,9,0.732188,0.279308,300,0.000474,27.923372,27.930754,0.720692,219.65625,80.34375,1440,27092,19525,7567,39012480,28012480,0.189929,0.710222,0.000725,B,0.001899,NB-No Block
55,3,0.357525,0.648088,300,0.00043,64.768197,64.8088,0.351912,107.2575,192.7425,1440,27092,9534,17558,39012480,13728960,0.505509,0.314622,0.000868,NB,0.272975,NB-Wait
56,9,0.56925,0.439687,300,0.000538,43.957626,43.968699,0.560313,170775,129225,1440,27092,15180,11912,39012480,21859200,0.373734,0.50094,0.000874,P NB,0.104646,NB-No Block
57,3,0.679106,0.332339,200,0.001331,33.222812,33.233864,0.667661,135.82125,64.17875,1440,18096,12082,6014,26058240,17398080,0.219344,0.597614,0.00098,B,0.021934,NB-No Block
58,9,0.832838,0.180238,300,0.000491,18.012697,18.023771,0.819762,249.85125,50.14875,1440,27092,22209,4883,39012480,31980960,0.133376,0.807852,0.000886,B,0,No Block
59,3,0.4167,0.590628,100,0.000547,58.554377,59.062776,0.409372,41.67,58.33,1440,9048,3704,5344,13029120,5333760,0.431158,0.370863,0.000887,NB,0.375108,Block
60,9,0.822225,0.190536,300,0.00141,19.046213,19.053595,0.809464,246.6675,53.3325,1440,27092,21930,5162,39012480,31579200,0.16005,0.781114,0.000995,B,0.024008,NB-No Block
61,3,765,0.246513,1000,0.000847,24.64572,24.651255,0.753487,765,235,1440,90324,68058,22266,130066560,980066560,0.20214,0.72675,0.000988,B,0.032342,NB-No Block
62,3,0.67095,0.339328,800,0.00041,33.924517,33.932824,0.660672,536.76,263.24,1440,72228,47719,24509,104008320,68715360,0.254496,0.644112,0.000746,B,0.050899,NB-Wait
63,9,0.430594,0.576121,400,0.001764,57.60653,57.612064,0.423879,172.2375,227.7625,1440,36140,15319,20821,52041600,22059360,0.472419,0.370311,0.000951,NB,0.448798,Block
64,3,0.737388,0.273882,900,0.000483,27.380777,27.388159,0.726118,663.64875,236.35125,1440,81276,59016,22260,117037440,84983040,0.20815,0.715266,0.000831,B,0.037467,NB-No Block
65,9,0.563428,0.445545,400,0.001486,44.548976,44.55451,0.554455,225.37125,174.62875,1440,36140,20038,16102,52041600,28854720,0.29406,0.507085,0.000948,P NB,0.117624,NB-Wait
66,3,0.669164,0.341114,800,0.000491,34.103118,34.111425,0.658886,535.33125,264.66875,1440,72228,47590,24638,104008320,68529600,0.228547,0.635706,0.00083,B,0.038853,NB-Wait
67,3,0.748495,0.263827,700,0.000495,26.373175,26.382656,0.736173,523.94625,176.05375,1440,63284,46588,16696,91128960,67086720,0.208423,0.718555,0.000904,B,0.031263,NB-No Block
68,9,0.523659,0.48456,400,0.00152,48.45047,48.456004,0.51544,209.46375,190.53625,1440,36140,18628,17512,52041600,26824320,0.387648,0.466057,0.000899,P NB,0.120171,NB-Wait
69,9,0.635906,0.374073,400,0.001348,37.401771,37.407305,0.625927,254.3625,145.6375,1440,36140,22621,13519,52041600,32574240,0.265592,0.623188,0.000822,B,0.039839,NB-No Block
70,3,0.67875,0.331906,600,0.000484,33.083567,33.19061,0.668094,407.25,192.75,1440,54184,36200,17984,78024960,52125000,0.238972,0.590513,0.000808,B,0.047794,NB-Wait
71,9,0.695953,0.315053,400,0.000486,31.496956,31.505257,0.684947,278.38125,121.61875,1440,36140,24754,11386,52041600,35645760,0.255193,0.675075,0.000805,B,0.015312,NB-No Block
72,3,0.723105,0.28782,500,0.00069,28.777552,28.781978,0.71218,361.5525,138.4475,1440,45188,32182,13006,65070720,46342030,0.244647,0.694181,0.000809,B,0.014679,NB-No Block
73,9,0.54585,0.463473,200,0.000495,46.330681,46.347259,0.536527,109.17,90.83,1440,18096,9709,8387,26058240,13980960,0.384682,0.463973,0.000767,P NB,0.107711,NB-Wait
74,3,0.384609,0.62161,400,0.000427,62.000553,62.16104,0.37839,153.84375,246.15625,1440,36140,13675,22465,52041600,19692000,0.435127,0.326918,0.000754,NB,0.30894,NB-Wait
75,9,0.797006,0.215606,400,0.001155,21.555064,21.560598,0.784394,318.8025,81.1975,1440,36140,28348,7792,52041600,40821120,0.166017,0.789036,0.000841,B,0.006641,NB-No Block
76,3,0.68685,0.323933,300,0.000446,32.37118,32.393326,0.676067,206055,93945,1440,27092,18316,8776,39012480,26375040,0.265625,0.679982,0.000759,B,0.013281,NB-Wait
77,9,0.772059,0.240343,400,0.000831,24.028777,24.034311,0.759657,308.82375,91.17625,1440,36140,27454,8686,52041600,39533760,0.197081,0.764339,0.000755,B,0.017737,NB-Wait
78,3,0.362756,0.643291,200,0.001223,64.318081,64.329134,0.356709,72.55125,127.44875,1440,18096,6455,11641,26058240,9295200,0.495334,0.31197,0.000787,NB,0.386361,Block
79,9,0.864534,0.14917,400,0.000453,14.911455,14.916989,0.85083,345.81375,54.18625,1440,36140,30749,5391,52041600,44278560,0.111877,0.847244,0.00079,B,0,No Block
80,3,0.400613,0.606432,100,0.000527,60.521662,60.643236,0.393568,40.06125,59.93875,1440,9048,3561,5487,13029120,5127840,0.460889,0.340521,0.000786,NB,0.29036,NB-No Block
81,9,0.579116,0.429498,1000,0.00048,42.943182,42.949825,0.570502,579.11625,420.88375,1440,90324,51530,38794,130066560,74203200,0.335009,0.521205,0.000506,P NB,0.077052,NB-No Block
82,9,0.276818,0.727428,500,0.001247,72.738338,72.742764,0.272572,138.40875,361.59125,1440,45188,12317,32871,65070720,17736480,0.480102,0.249136,0.000826,NB,0.307265,NB-Wait
83,9,0.439853,0.566721,500,0.001211,56.667699,56.672125,0.433279,219.92625,280.07375,1440,45188,19579,25609,65070720,28193760,0.408039,0.373875,0.000735,NB,0.2081,NB-No Block
84,3,0.6761,0.334256,900,0.000414,33.418229,33.425611,0.665744,608.49,291.51,1440,81276,54109,27167,117037440,77916960,0.217266,0.655817,0.000744,B,0.036935,NB-No Block
85,9,0.540534,0.467958,400,0.001533,46.79026,46.795794,0.532042,216.21375,183.78625,1440,36140,19228,16912,52041600,27688320,0.350968,0.470265,0.000786,P NB,0.094761,NB-No Block
86,9,0.487148,0.519828,500,0.001122,51.978401,51.982827,0.480172,243.57375,256.42625,1440,45188,21698,23490,65070720,31245120,0.353483,0.414075,0.000814,P NB,0.141393,NB-Wait
87,9,0.548505,0.459768,500,0.001253,45.972382,45.976808,0.540232,274.2525,225.7475,1440,45188,24412,20776,65070720,35153280,0.390803,0.471714,0.000742,P NB,0.132873,NB-No Block
88,3,0.674984,0.336041,700,0.000418,33.594589,33.604071,0.663959,472.48875,227.51125,1440,63284,42018,21266,91128960,60505920,0.278914,0.654734,0.000715,P NB,0.092042,NB-No Block
89,9,0.619133,0.390015,500,0.000799,38.997079,39.001505,0.609985,309.56625,190.43375,1440,45188,27564,17624,65070720,39692160,0.25351,0.538645,0.000774,B,0.040562,NB-No Block
90,3,0.664631,0.345656,600,0.000564,34.561863,34.565554,0.654344,398.77875,201.22125,1440,54184,35455,18729,78024960,51055200,0.262698,0.6314,0.000733,B,0.039405,NB-No Block
91,3,0.564313,0.444424,900,0.00041,44.435012,44.442394,0.555576,507.88125,392.11875,1440,81276,45155,36121,117037440,65023200,0.306653,0.502238,0.000658,P NB,0.073597,NB-Wait
92,9,0.542475,0.465301,500,0.001291,46.525626,46.530052,0.534699,271.2375,228.7625,1440,45188,24162,21026,65070720,34793280,0.339669,0.471953,0.000808,P NB,0.112091,NB-Wait
93,3,0.646791,0.363475,400,0.000432,36.330935,36.347537,0.636525,258.71625,141.28375,1440,36140,23004,13136,52041600,33125700,0.283511,0.575644,0.000785,P NB,0.104899,NB-No Block
94,9,0.759645,0.251748,500,0.001028,25.170399,25.174825,0.748252,379.8225,120.1775,1440,45188,33812,11376,65070720,48689280,0.203916,0.729259,0.00079,B,0.012235,NB-No Block
95,3,0.640463,0.369593,300,0.000468,36.937103,36.95925,0.630408,192.13875,107.86125,1440,27092,17079,10013,39012480,24593760,0.240235,0.621249,0.000724,B,0.014414,NB-Wait
96,9,0.794993,0.216894,500,0.001009,21.684961,21.689387,0.783106,397.49625,102.50375,1440,45188,35387,9801,65070720,509557280,0.180022,0.779093,0.000761,B,0.027003,NB-No Block
97,9,0.872685,0.140568,500,0.000953,14.052403,14.056829,0.859432,436.3425,63.6575,1440,45188,38836,6352,65070720,55923840,0.108238,0.829051,0.000696,B,0,No Block
98,3,0.623081,0.387489,200,0.000426,38.715738,38.748895,0.612511,124.61625,75.38375,1440,18096,11084,7012,26058240,15960960,0.321616,0.529619,0.000686,P NB,0.093269,NB-No Block
99,9,0.861525,0.151567,500,0.000961,15.152253,15.156679,0.848433,430.7625,69.2375,1440,45188,38339,6849,65070720,55208160,0.121253,0.818449,0.000686,B,0,No Block
100,3,0.559238,0.450597,100,0.000704,44.993369,45.059682,0.549403,55.92375,44.07625,1440,9048,4971,4077,13029120,7158240,0.351466,0.492129,0.000626,P NB,0.087866,NB-No Block
101,9,0.28785,0.716558,600,0.001081,71.652148,71.655839,0.283442,172.71,427.29,1440,54184,15358,38826,78024960,22115520,0.530253,0.253308,0.000595,NB,0.477228,Block
102,3,0.679061,0.331119,1000,0.000478,33.104158,33.111908,0.668881,679.06125,320.93875,1440,90324,60416,29908,130066560,86999040,0.261584,0.651899,0.000523,B,0.047085,NB-No Block
103,9,0.378919,0.626919,600,0.000434,62.680865,62.691939,0.373081,227.35125,372.64875,1440,54184,20215,33969,78024960,29109600,0.438844,0.322081,0.000566,NB,0.285248,NB-Wait
104,3,0.650763,0.359097,900,0.000799,35.907279,35.90974,0.640903,585.68625,314.31375,1440,81276,52090,29186,117037440,75009600,0.237004,0.585686,0.000566,B,0.042661,NB-No Block
105,9,0.468563,0.538794,600,0.000424,53.772331,53.879374,0.461206,281.1375,318.8625,1440,54184,24990,29194,78024960,35985600,0.371768,0.417021,0.000582,P NB,0.092942,NB-Wait
106,3,0.617527,0.391884,800,0.000865,39.185634,39.188403,0.608116,494.02125,305.97875,1440,72228,43923,28305,104008320,63249120,0.301751,0.537248,0.000582,P NB,0.090525,NB-No Block
107,9,0.551775,0.456851,600,0.000426,45.679536,45.685073,0.543149,331065,268935,1440,54184,29430,24754,78024960,42379200,0.301521,0.469009,0.000589,P NB,0.117593,NB-Wait
108,3,0.611196,0.398726,700,0.000421,39.867897,39.872638,0.601274,427.8375,272.1625,1440,63284,38051,25233,91128960,54793440,0.307019,0.519517,0.000591,P NB,0.092106,NB-No Block
109,9,0.349013,0.656338,600,0.000424,65.62823,65.633766,0.343662,209.4075,390.5925,1440,54184,18621,35563,78024960,26814240,0.557887,0.314111,0.000643,NB,0.457467,Block
110,3,0.549713,0.458881,600,0.000436,45.884394,45.888085,0.541119,329.8275,270.1725,1440,54184,29320,24864,78024960,42220800,0.367105,0.467256,0.000646,P NB,0.146842,NB-No Block
111,9,0.666244,0.344031,600,0.000863,34.399454,34.403145,0.655969,399.74625,200.25375,1440,54184,35543,18641,78024960,51181920,0.254583,0.632932,0.000645,B,0.050917,NB-No Block
112,3,0.613058,0.39599,500,0.000438,39.594583,39.599009,0.60401,306.52875,193.47125,1440,45188,27294,17894,65070720,39303360,0.265313,0.545621,0.000606,B,0.053063,NB-Wait
113,9,0.729263,0.282113,600,0.000938,28.207589,28.21128,0.717887,437.5575,162.4425,1440,54184,38898,15286,78024960,56013120,0.211585,0.700092,0.000604,B,0.031738,NB-No Block
114,3,0.557522,0.4513,400,0.000428,45.113448,45.13005,0.5487,223.00875,176.99125,1440,36140,19830,16310,52041600,28555200,0.374579,0.479469,0.0006,P NB,0.112374,NB-Wait
115,9,0.756806,0.254872,600,0.000925,25.483538,25.487229,0.745128,454.08375,145.91625,1440,54184,40374,13810,78024960,58138560,0.170764,0.734102,0.000685,B,0.010246,NB-No Block
116,3,0.389288,0.616824,300,0.000445,61.586446,61.682415,0.383176,116.78625,183.21375,1440,27092,10381,16711,39012480,14948640,0.474955,0.342573,0.000628,NB,0.327719,NB-Wait
117,9,0.839569,0.173446,600,0.000888,17.340912,17.344604,0.826554,503.74125,96.25875,1440,54184,44786,9398,78024960,64491840,0.145695,0.822777,0.000699,B,0.008742,NB-No Block
118,3,0.360394,0.645944,200,0.000455,64.273873,64.594385,0.354056,72.07875,127.92125,1440,18096,6407,11689,26058240,9226080,0.452161,0.306335,0.000647,NB,0.284861,NB-Wait
119,9,0.899081,0.114868,600,0.000421,11.486786,11.486786,0.885132,539.44875,60.55125,1440,54184,47960,6224,78024960,69062400,0.09534,0.8811,0.000644,B,0,No Block
120,3,0.401175,0.60588,100,0.000512,60.543767,60.587975,0.39412,40.1175,59.8825,1440,9048,3566,5482,13029120,5135040,0.424116,0.361058,0.00069,NB,0.216299,NB-No Block
121,3,0.414338,0.592728,100,0.00327,59.250663,59.272767,0.407272,41.43375,58.56625,1440,9048,3685,5363,13029120,5306400,0.403055,0.364617,0.001392,NB,0.342597,NB-Wait
122,3,0.65565,0.354181,1000,0.000907,35.411408,35.418051,0.645819,655.65,344.35,1440,90324,58333,31991,130066560,83999520,0.25501,0.557303,0.000741,B,0.043352,NB-No Block
123,9,0.416555,0.590054,700,0.001191,59.002275,59.005436,0.409946,291.58875,408.41125,1440,63284,25943,37341,91128960,37357920,0.395336,0.358238,0.000742,P NB,0.134414,NB-Wait
124,3,0.4266,0.579857,1000,0.000611,57.979053,57.985696,0.420143,426.6,573.4,1440,90324,37949,52375,130066560,54646560,0.492878,0.375408,0.00052,NB,0.349944,NB-Wait
125,9,0.48105,0.526721,700,0.001087,52.668921,52.672081,0.473279,336735,363265,1440,63284,29951,33333,91128960,43129440,0.421377,0.413703,0.000662,NB,0.252826,NB-No Block
126,3,0.561698,0.446918,800,0.000419,44.683502,44.691809,0.553082,449.35875,350.64125,1440,72228,39948,32280,104008320,57525120,0.290497,0.499912,0.000592,P NB,0.110389,NB-No Block
127,9,0.522273,0.486347,700,0.000425,48.631566,48.634726,0.513653,365.59125,334.40875,1440,63284,32506,30778,91128960,46808640,0.398805,0.464823,0.000637,P NB,0.099701,NB-No Block
128,3,0.381729,0.624455,700,0.00084,62.442323,62.445484,0.375545,267.21,432.79,1440,63284,23766,39518,91128960,34223040,0.524542,0.328287,0.000641,NB,0.267516,NB-Wait
129,9,0.601039,0.408761,700,0.000957,40.87289,40.876051,0.591239,420.7275,279.2725,1440,63284,37416,25868,91128960,53879040,0.30657,0.576998,0.000616,P NB,0.076643,NB-No Block
130,3,0.565725,0.443046,600,0.00043,44.293518,44.304592,0.556954,339435,260565,1440,54184,30178,24006,78024960,43456320,0.350006,0.486524,0.000623,P NB,0.084002,NB-Wait
131,9,0.667141,0.343705,700,0.000916,34.367297,34.370457,0.656295,466.99875,233.00125,1440,63284,41533,21751,91128960,59807520,0.26809,0.56707,0.000624,B,0.042894,NB-No Block
132,3,0.55872,0.449788,500,0.000438,44.965478,44.978755,0.550212,279.36,220.64,1440,45188,24863,20325,65070720,35802720,0.314851,0.486086,0.0006,P NB,0.088158,NB-Wait
133,9,0.735975,0.276136,700,0.000449,27.608874,27.613615,0.723864,515.1825,184.8175,1440,63284,45809,17475,91128960,65964960,0.215386,0.713896,0.000598,B,0.043077,NB-No Block
134,3,0.546047,0.46259,400,0.000451,46.247925,46.258993,0.53741,218.41875,181.58125,1440,36140,19422,16718,52041600,27967680,0.300683,0.485982,0.000631,P NB,0.069157,NB-Wait
135,9,0.800196,0.212818,700,0.000824,21.27868,21.281841,0.787182,560.1375,139.8625,1440,63284,49816,13468,91128960,71735040,0.176639,0.784193,0.000702,B,0.026496,NB-No Block
136,3,0.539288,0.469179,300,0.000468,46.895763,46.917909,0.530821,161.78625,138.21375,1440,27092,14381,12711,39012480,20708640,0.31435,0.463787,0.000656,P NB,0.097448,NB-Wait
137,9,0.856752,0.157354,700,0.000615,15.732255,15.735415,0.842646,599.72625,100.27375,1440,63284,53326,9958,91128960,76789440,0.133751,0.839617,0.000705,B,0,No Block
138,3,0.549675,0.459604,200,0.001019,45.949381,45.960433,0.540396,109935,90065,1440,18096,9779,8317,26058240,14081760,0.326319,0.489211,0.000683,P NB,0.088106,NB-No Block
139,9,0.912263,0.102664,700,0.000433,10.261678,10.266418,0.897336,638.58375,61.41625,1440,63284,56787,8497,91128960,81773280,0.081105,0.875772,0.000674,B,0,No Block
140,3,0.65835,0.441645,100,0.000705,44.120248,44.164456,0.558355,65835,34165,1440,9048,5052,3996,13029120,7274880,0.313568,0.592515,0.000672,P NB,0.09407,NB-No Block
141,9,0.257316,0.746663,800,0.000414,74.628953,74.666334,0.253337,205.8525,594.1475,1440,72228,18298,53930,104008320,26349120,0.612264,0.223865,0.00069,NB,0.465321,Block
142,3,0.636334,0.373146,1000,0.00075,37.306807,37.314556,0.626854,636.33375,363.66625,1440,90324,56620,33704,130066560,81532800,0.309711,0.559974,0.00069,P NB,0.061942,NB-No Block
143,9,0.413747,0.592526,800,0.001094,59.249875,59.252644,0.407474,330.9975,469.0025,1440,72228,29431,42797,104008320,42380640,0.444395,0.35996,0.000677,NB,0.439951,Block
144,3,0.506413,0.50123,900,0.000409,50.115655,50.123038,0.49877,455.77125,444.22875,1440,81276,40538,40738,117037440,58374720,0.405997,0.455771,0.000628,NB,0.357277,Block
